,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
MIF,0.8846,0.11539999999999995,2.036731136009663,0.00027994553,0.0011503636,1e-05,0.25,-2.327807,-2.1588702,1.6867461,-9.440512,4.2048826,0.414332,1.1319771,0.303411473222794,0.57546090273363,2.9233131408691406,11.673091888427734,False,5kpbmc vs Rest,5kpbmc,Rest
PFN1,0.884,0.11599999999999999,2.030866796636603,0.0025159598,0.007100849,1e-05,0.25,-1.6417178,-1.5479946,1.2799953,-7.1286926,4.867544,4.828664,8.094977,0.8046502763483896,0.9664335664335665,27.583219528198242,77.93222045898438,False,5kpbmc vs Rest,5kpbmc,Rest
YIF1B,0.884,0.11599999999999999,2.030866796636603,6.106545e-05,0.0001339151,1e-05,0.25,-1.1279719,-1.1711388,0.7479466,-4.24798,4.0669546,0.13207547,0.18359822,0.11034877072612921,0.1441830896376351,0.6521596312522888,1.4404408931732178,False,5kpbmc vs Rest,5kpbmc,Rest
RPS20,0.8832,0.11680000000000001,2.0230885308347335,0.0074770814,0.0011176323,1e-05,0.25,2.4183075,2.4563196,1.7938567,-4.2448387,9.998222,10.31275,0.8691672,0.8692586239756052,0.5141767323585505,76.1524887084961,9.901074409484863,False,5kpbmc vs Rest,5kpbmc,Rest
CHMP1B,0.8822,0.11780000000000002,2.013430442899011,0.0005398707,0.00021068938,1e-05,0.25,1.3765348,1.38906,1.0087163,-3.4596443,8.607097,1.1292167,0.30781946,0.46255002858776445,0.20445009535918626,6.582144260406494,2.160825729370117,False,5kpbmc vs Rest,5kpbmc,Rest
ATF3,0.8822,0.11780000000000002,2.013430442899011,0.00026251265,3.7628208e-05,1e-05,0.25,3.7690508,3.9374213,2.8176064,-6.2352552,12.062881,0.72727275,0.08086459,0.24299599771297883,0.06573426573426573,2.6920218467712402,0.3762929141521454,False,5kpbmc vs Rest,5kpbmc,Rest
NR4A1,0.882,0.118,2.011507358133236,0.0008866417,0.00014450877,1e-05,0.25,3.407716,3.5557218,2.5543458,-6.0858192,11.8777485,0.92281306,0.26547998,0.4164284352963598,0.1424030514939606,8.035989761352539,1.2675551176071167,False,5kpbmc vs Rest,5kpbmc,Rest
EIF4A3,0.881,0.119,2.001934060141778,0.00037755212,0.00015371878,1e-05,0.25,1.2745309,1.2593808,0.8777391,-5.350478,6.5029,0.54888505,0.20254292,0.3466742900705165,0.14431023521932612,3.9631338119506836,1.583616852760315,False,5kpbmc vs Rest,5kpbmc,Rest
SSR1,0.8796,0.12039999999999995,1.988647654118215,0.00025226173,0.00048189674,1e-05,0.25,-0.96682197,-0.9437642,0.66740376,-5.8716373,3.5454054,0.50543165,0.6110617,0.32170764246235944,0.3635092180546726,2.6403958797454834,4.906426429748535,False,5kpbmc vs Rest,5kpbmc,Rest
FAM43A,0.877,0.123,1.9643225671014646,0.00012797913,3.0283654e-05,1e-05,0.25,2.4155939,2.4583464,1.7734941,-7.646098,9.351219,0.28587765,0.03509218,0.15837621497998858,0.03000635727908455,1.3269442319869995,0.3332352936267853,False,5kpbmc vs Rest,5kpbmc,Rest
AL360012.1,0.8756,0.12439999999999996,1.9514071163785203,7.0723654e-05,1.7681792e-05,1e-05,0.25,1.9632006,2.0128226,1.5087041,-6.6905336,10.271546,0.13321899,0.020216148,0.10768057937869259,0.019580419580419582,0.7704149484634399,0.17466169595718384,False,5kpbmc vs Rest,5kpbmc,Rest
HSPA2,0.8756,0.12439999999999996,1.9514071163785203,5.38616e-05,2.1172548e-06,1e-05,0.25,4.719892,4.810873,2.8913426,-7.531534,14.156485,0.064417765,0.0020343293,0.05088622069754145,0.0017800381436745073,0.5780526399612427,0.023091673851013184,False,5kpbmc vs Rest,5kpbmc,Rest
SMS,0.875,0.125,1.945910080483888,0.00014305171,0.00032511412,1e-05,0.25,-1.3521781,-1.1329107,1.2262493,-7.353735,4.744525,0.2816848,0.38563254,0.20811892510005717,0.27972027972027974,1.379978895187378,3.2366039752960205,False,5kpbmc vs Rest,5kpbmc,Rest
LYPLA1,0.8738,0.12619999999999998,1.93498349861519,0.000188733,0.00036902732,1e-05,0.25,-1.012617,-0.9619708,0.75322217,-7.090542,4.6834936,0.37183154,0.42186904,0.2557651991614256,0.29701207883026065,1.8522405624389648,3.6874570846557617,False,5kpbmc vs Rest,5kpbmc,Rest
IGHG4,0.8734,0.12660000000000005,1.9313610638019538,1.2847548e-05,0.00016262155,1e-05,0.25,-4.089013,-4.1147833,3.1329935,-16.997238,9.366589,0.060606062,1.1368086,0.010672765389746522,0.04373808010171647,0.13299675285816193,1.444007396697998,False,5kpbmc vs Rest,5kpbmc,Rest
CD16_TotalSeqB_protein,0.8718,0.12819999999999998,1.9169684287851265,80.11145,2206.211,1e-05,0.25,-6.589822,-6.968935,5.292487,-17.67123,10.844597,9.619173,23.038363,1.0,1.0,,,False,5kpbmc vs Rest,5kpbmc,Rest
BTG2,0.871,0.129,1.9098295064525102,0.0030302862,0.0007016697,1e-05,0.25,1.9654773,2.035622,1.4903325,-5.733165,7.633706,3.695445,0.6160203,0.7825424051839146,0.39809281627463444,30.65265655517578,7.08276891708374,False,5kpbmc vs Rest,5kpbmc,Rest
HIGD1A,0.8686,0.13139999999999996,1.8886365494594932,6.5267595e-05,0.00022170992,1e-05,0.25,-1.9425373,-1.8387523,1.5785023,-9.02501,5.226783,0.12616733,0.24895105,0.10596531351248333,0.19275270184361093,0.6841697096824646,2.3517045974731445,False,5kpbmc vs Rest,5kpbmc,Rest
AC083973.1,0.8678,0.13219999999999998,1.8816452818270948,1.6401902e-05,1.5430081e-06,1e-05,0.25,3.4076653,3.4057498,2.005771,-7.53228,11.999466,0.023632552,0.0016528926,0.02115494568324757,0.001652892561983471,0.17205937206745148,0.015686387196183205,False,5kpbmc vs Rest,5kpbmc,Rest
MTCH2,0.8664,0.13360000000000005,1.8694963712759516,9.521231e-05,0.00018674314,1e-05,0.25,-1.0150537,-1.0143228,0.7070437,-4.536581,3.4464483,0.2046884,0.25797838,0.16199733180865256,0.19631277813095996,0.9947406649589539,1.9384562969207764,False,5kpbmc vs Rest,5kpbmc,Rest
IGLC3,0.8662,0.13380000000000003,1.8677696178926633,0.00020410476,0.0008116699,1e-05,0.25,-4.3166656,-4.4845138,4.3336673,-19.918547,12.310445,0.36725748,9.603179,0.02267962645321136,0.06891290527654163,3.003002405166626,11.373801231384277,False,5kpbmc vs Rest,5kpbmc,Rest
SNAI1,0.866,0.134,1.866045045532005,5.8861835e-05,7.510232e-06,1e-05,0.25,4.41579,4.690515,3.1187382,-7.272498,14.2985935,0.09796074,0.022504767,0.0779493043643987,0.017418944691671965,0.7043055891990662,0.08932679891586304,False,5kpbmc vs Rest,5kpbmc,Rest
JUN,0.8632,0.13680000000000003,1.8421263472408627,0.017451577,0.004799631,1e-05,0.25,1.9527606,1.9947131,1.5515934,-5.104963,7.392744,23.049744,4.2640815,0.9653135124833238,0.7960584869675779,181.0192108154297,52.85608673095703,False,5kpbmc vs Rest,5kpbmc,Rest
NFKBIA,0.8598,0.1402,1.8136297697656296,0.0034624713,0.0011558651,1e-05,0.25,1.653943,1.6683269,1.3832439,-3.931035,7.6327586,7.0070515,1.5701208,0.7955021917286068,0.5026064844246663,36.18252182006836,12.066109657287598,False,5kpbmc vs Rest,5kpbmc,Rest
ATP5MF,0.8562,0.14380000000000004,1.7840804905623864,0.00045333052,0.0008975746,1e-05,0.25,-1.2165908,-0.89981127,1.2050664,-7.4881268,4.9394236,0.95464075,1.0834075,0.4835143891747665,0.5621106166560712,4.900665760040283,9.237133979797363,False,5kpbmc vs Rest,5kpbmc,Rest
TMED2,0.8556,0.14439999999999997,1.7792156931851544,0.00020770328,0.0006199549,1e-05,0.25,-1.7535924,-1.5988145,1.5226557,-8.801873,5.439748,0.40099105,0.760712,0.2978845054316752,0.4488239033693579,2.2704081535339355,7.202938556671143,False,5kpbmc vs Rest,5kpbmc,Rest
PGK1,0.8544,0.14559999999999995,1.7695362754661486,0.0005565071,0.0010912151,1e-05,0.25,-1.1150708,-0.89242697,1.0406477,-6.9141865,4.509201,1.1490376,1.3735538,0.5138174194777968,0.6133502860775588,5.733089447021484,11.457878112792969,False,5kpbmc vs Rest,5kpbmc,Rest
AL591846.2,0.8538,0.1462,1.7647213703210778,1.9658104e-05,1.4555577e-06,1e-05,0.25,3.800543,3.768488,2.4445593,-6.4805355,12.7026,0.027825424,0.0016528926,0.023632551934438726,0.0015257469802924348,0.2036319375038147,0.018156632781028748,False,5kpbmc vs Rest,5kpbmc,Rest
HEXIM1,0.8538,0.1462,1.7647213703210778,0.0005544993,0.00012299843,1e-05,0.25,1.996323,2.0067592,1.5731571,-2.575903,7.5964355,0.5456451,0.08951049,0.3560129597865447,0.08111888111888112,5.102243900299072,1.0871931314468384,False,5kpbmc vs Rest,5kpbmc,Rest
PLK3,0.8534,0.14659999999999995,1.761520524806362,0.00067542325,0.00019770149,1e-05,0.25,1.7665554,1.6794314,1.5948312,-5.2620974,9.749476,0.8757385,0.19071837,0.43548694492090717,0.15944055944055943,6.940767288208008,2.0177063941955566,False,5kpbmc vs Rest,5kpbmc,Rest
ABHD5,0.851,0.14900000000000002,1.7424657672647044,0.00035892197,0.00012433741,1e-05,0.25,1.5634497,1.6058311,1.2490693,-4.102784,8.758791,0.5597484,0.16389066,0.2915951972555746,0.12422123331214241,3.518573522567749,1.1084589958190918,False,5kpbmc vs Rest,5kpbmc,Rest
IgG1_control_TotalSeqB_protein,0.8508,0.1492,1.740889340285939,8.418245,41.006485,1e-05,0.25,-3.7296019,-3.9659324,3.3211358,-12.499276,10.250137,2.8307605,12.941132,0.8370497427101201,0.9988556897647807,,,False,5kpbmc vs Rest,5kpbmc,Rest
HIST1H2AH,0.8498,0.1502,1.7330332335402576,3.5051726e-05,1.9215706e-06,1e-05,0.25,4.2584724,4.2960362,2.6340535,-5.1027145,12.744163,0.03926053,0.002797203,0.03316180674671241,0.0022886204704386523,0.44915398955345154,0.025714272633194923,False,5kpbmc vs Rest,5kpbmc,Rest
